proto,saddr,sport,daddr,dport,spkts,dpkts,sbytes,dbytes,state,stime,ltime,dur,attack,category
udp,192.168.100.150,11428,192.168.100.5,80,3,0,180,0,INT,1528100545.813881,1528100553.732013,7.918132,1,DDoS
tcp,192.168.100.149,55464.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096413.82085,1528096424.44703,10.62618,1,DDoS
udp,192.168.100.148,10250,192.168.100.3,80,12,0,720,0,INT,1528099460.801163,1528099476.136756,15.335593,1,DDoS
udp,192.168.100.148,65062.0,192.168.100.7,80.0,5,0,300,0,INT,1528101388.289602,1528101398.560074,10.270472,1,DDoS
tcp,192.168.100.149,18358.0,192.168.100.3,80.0,4,0,616,0,REQ,1528096266.468023,1528096287.197489,20.729465,1,DDoS
udp,192.168.100.147,16416,192.168.100.6,80,3,0,180,0,INT,1528101266.880645,1528101298.821131,31.940487,1,DDoS
udp,192.168.100.149,44322,192.168.100.3,80,10,0,600,0,INT,1528099683.094434,1528099705.214703,22.12027,1,DDoS
tcp,192.168.100.147,31122.0,192.168.100.7,80.0,6,0,924,0,REQ,1528097916.204012,1528097933.155051,16.951038,1,DDoS
udp,192.168.100.148,10760,192.168.100.3,80,10,0,600,0,INT,1528099802.69972,1528099822.743275,20.043554,1,DDoS
tcp,192.168.100.149,17257.0,192.168.100.5,80.0,4,1,616,60,RST,1528096766.041229,1528096787.394987,21.353758,1,DDoS
udp,192.168.100.148,63838,192.168.100.3,80,9,0,540,0,INT,1528099495.396484,1528099515.855133,20.458649,1,DDoS
tcp,192.168.100.149,36224.0,192.168.100.5,80.0,4,0,616,0,REQ,1528096641.879828,1528096654.218981,12.339153,1,DDoS
udp,192.168.100.148,43139,192.168.100.7,80,10,0,600,0,INT,1528101428.413565,1528101468.199178,39.785614,1,DDoS
udp,192.168.100.150,61925,192.168.100.5,80,8,0,480,0,INT,1528100197.268397,1528100227.685668,30.417271,1,DDoS
udp,192.168.100.149,39050.0,192.168.100.6,80.0,7,0,420,0,INT,1528101031.983268,1528101127.988038,96.004768,1,DDoS
tcp,192.168.100.150,36298.0,192.168.100.7,80.0,3,0,462,0,REQ,1528097738.851717,1528097748.324125,9.472408,1,DDoS
tcp,192.168.100.149,46004.0,192.168.100.5,80.0,3,0,462,0,REQ,1528096927.703288,1528096942.971763,15.268475,1,DDoS
tcp,192.168.100.148,4522.0,192.168.100.3,80.0,5,0,770,0,REQ,1528095764.495837,1528095777.600682,13.104845,1,DDoS
udp,192.168.100.147,63502,192.168.100.3,80,4,0,240,0,INT,1528099437.976299,1528099441.901431,3.925132,1,DDoS
udp,192.168.100.150,47665.0,192.168.100.3,80.0,6,0,360,0,INT,1528099325.651035,1528099336.604666,10.953631,1,DDoS
tcp,192.168.100.147,6762.0,192.168.100.5,80.0,1,0,154,0,REQ,1528096645.533423,1528096645.533423,0.0,1,DDoS
udp,192.168.100.148,18849,192.168.100.3,80,11,0,660,0,INT,1528099767.047473,1528099783.451758,16.404285,1,DDoS
udp,192.168.100.147,5603,192.168.100.3,80,12,0,720,0,INT,1528099842.644017,1528099857.595281,14.951264,1,DDoS
tcp,192.168.100.149,63974.0,192.168.100.7,80.0,2,0,308,0,REQ,1528097750.930535,1528097755.960053,5.029518,1,DDoS
tcp,192.168.100.150,8518.0,192.168.100.3,80.0,4,0,616,0,REQ,1528095958.24137,1528095977.554532,19.313162,1,DDoS
tcp,192.168.100.149,7252.0,192.168.100.5,80.0,6,0,924,0,REQ,1528096950.26455,1528096975.02757,24.76302,1,DDoS
udp,192.168.100.149,60303.0,192.168.100.3,80.0,9,0,540,0,INT,1528099405.082615,1528099419.984647,14.902032,1,DDoS
tcp,192.168.100.147,57931.0,192.168.100.7,80.0,5,0,770,0,REQ,1528098001.165757,1528098020.282487,19.11673,1,DDoS
tcp,192.168.100.147,6966.0,192.168.100.7,80.0,6,0,924,0,REQ,1528097982.634978,1528097998.851139,16.216162,1,DDoS
udp,192.168.100.148,64330,192.168.100.3,80,11,0,660,0,INT,1528099667.008089,1528099681.143104,14.135015,1,DDoS
udp,192.168.100.150,64071.0,192.168.100.3,80.0,8,0,480,0,INT,1528099550.941169,1528099570.273583,19.332415,1,DDoS
udp,192.168.100.150,57646.0,192.168.100.5,80.0,2,0,120,0,INT,1528100102.186603,1528100105.4694,3.282797,1,DDoS
udp,192.168.100.149,24712,192.168.100.3,80,11,0,660,0,INT,1528099842.521998,1528099856.716694,14.194696,1,DDoS
tcp,192.168.100.148,24750.0,192.168.100.7,80.0,1,0,154,0,REQ,1528097959.475911,1528097959.475911,0.0,1,DDoS
udp,192.168.100.150,28071,192.168.100.7,80,6,0,360,0,INT,1528101695.659396,1528101725.001017,29.341621,1,DDoS
